Ticker,Nome delle partecipazioni,% del valore di mercato,Settore,Regione,Valore di mercato,Azioni
XYL,Xylem Inc./NY,"0,0701%",Electronic Equipment: Pollution Control,US,"2.484.772,40 USD",17.620
HAL,Halliburton Co.,"0,0696%",Oil Equipment and Services,US,"2.466.093,20 USD",67.196
CTSH,Cognizant Technology Solutions Corp. Class A,"0,0696%",Computer Services,US,"2.466.072,00 USD",37.280
ED,Consolidated Edison Inc.,"0,0691%",Conventional Electricity,US,"2.449.790,50 USD",25.910
KDP,Keurig Dr Pepper Inc.,"0,0685%",Soft Drinks,US,"2.427.434,50 USD",70.874
BIIB,Biogen Inc.,"0,0683%",Biotechnology,US,"2.421.479,10 USD",10.765
GEHC,GE HealthCare Technologies Inc.,"0,0682%",Medical Equipment,US,"2.417.532,00 USD",30.994
HWM,Howmet Aerospace Inc.,"0,0676%",Aerospace,US,"2.395.848,95 USD",28.303
IT,Gartner Inc.,"0,067%",Computer Services,US,"2.374.073,19 USD",5.657
CSGP,CoStar Group Inc.,"0,0668%",Real Estate Services,US,"2.366.205,90 USD",30.270
HPQ,HP Inc.,"0,0667%",Computer Hardware,US,"2.364.178,00 USD",64.772
ON,ON Semiconductor Corp.,"0,0667%",Semiconductors,US,"2.362.332,72 USD",32.343
DVN,Devon Energy Corp.,"0,0661%",Oil: Crude Producers,US,"2.343.177,36 USD",47.742
AEM,Agnico Eagle Mines Ltd.,"0,0661%",Gold Mining,CA,"2.340.541,21 USD",34.325
FICO,Fair Isaac Corp.,"0,0659%",Professional Business Support Services,US,"2.333.483,37 USD",1.809
TSCO,Tractor Supply Co.,"0,065%",Specialty Retailers,US,"2.304.287,33 USD",8.077
PPG,PPG Industries Inc.,"0,065%",Paints and Coatings,US,"2.302.697,43 USD",17.523
DDOG,Datadog Inc. Class A,"0,0646%",Software,US,"2.289.209,86 USD",20.777
DFS,Discover Financial Services,"0,0646%",Banks,US,"2.288.712,94 USD",18.659
XEL,Xcel Energy Inc.,"0,0646%",Conventional Electricity,US,"2.288.199,70 USD",41.266
HIG,Hartford Financial Services Group Inc.,"0,0644%",Full Line Insurance,US,"2.281.486,30 USD",22.054
CDW,CDW Corp./DE,"0,0636%",Computer Hardware,US,"2.252.300,64 USD",10.072
EXR,Extra Space Storage Inc.,"0,0635%",Other Specialty REITs,US,"2.250.594,42 USD",15.546
WAB,Wabtec Corp.,"0,0635%",Railroad Equipment,US,"2.249.405,16 USD",13.292
RMD,ResMed Inc.,"0,0632%",Medical Equipment,US,"2.239.299,49 USD",10.853
IFC,Intact Financial Corp.,"0,0632%",Property and Casualty Insurance,CA,"2.238.494,11 USD",13.381
MTD,Mettler-Toledo International Inc.,"0,0631%",Electronic Equipment: Gauges and Meters,US,"2.235.311,28 USD",1.592
ABX,Barrick Gold Corp.,"0,063%",Gold Mining,CA,"2.232.897,15 USD",130.915
DG,Dollar General Corp.,"0,0629%",Diversified Retailers,US,"2.229.031,71 USD",16.281
HSY,Hershey Co.,"0,0626%",Food Products,US,"2.217.080,81 USD",11.207
VICI,VICI Properties Inc. Class A,"0,0625%",Hotel and Lodging REITs,US,"2.215.349,73 USD",77.163
ROK,Rockwell Automation Inc.,"0,0621%",Electronic Equipment: Control and Filter,US,"2.201.623,97 USD",8.549
SLF,Sun Life Financial Inc.,"0,0621%",Life Insurance,CA,"2.200.111,68 USD",43.904
